run_id,lambda,track_file_name,resolved_track_path,status,message,row_count,transition_count,used_count,downhill_count,uphill_count,observed_acceptance,mean_uphill_delta,median_uphill_delta,max_probability_error,probability_valid,initial_params_match,best_cost_error,initial_temp,min_temp,cooling_rate,perturbation,gen_seed
76,2,track_csv/jasminum-remote/results/76.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/76.csv,ok,,2758,2757,100,55,45,1,0.0750796881949,0.0557743540432,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
77,2.25,track_csv/jasminum-remote/results/77.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/77.csv,ok,,2758,2757,100,47,53,1,0.0328317858123,0.0269011342211,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
78,2.5,track_csv/jasminum-remote/results/78.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/78.csv,ok,,2758,2757,100,51,49,1,0.145185569268,0.122910951227,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
79,2.75,track_csv/jasminum-remote/results/79.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/79.csv,ok,,2758,2757,100,47,53,1,0.074283975182,0.0649116759638,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
80,3,track_csv/jasminum-remote/results/80.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/80.csv,ok,,2758,2757,100,50,50,1,0.0579619504396,0.0403663277307,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
81,2,track_csv/jasminum-remote/results/81.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/81.csv,ok,,2758,2757,100,46,54,1,0.034062032043,0.0264031044519,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
82,2.25,track_csv/jasminum-remote/results/82.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/82.csv,ok,,2758,2757,100,48,52,1,0.0426924820344,0.0265844454547,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
83,2.5,track_csv/jasminum-remote/results/83.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/83.csv,ok,,2758,2757,100,44,56,1,0.117220652127,0.100403105248,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
84,2.75,track_csv/jasminum-remote/results/84.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/84.csv,ok,,2758,2757,100,58,42,1,0.0875096939448,0.0708910508268,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
85,3,track_csv/jasminum-remote/results/85.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/85.csv,ok,,2758,2757,100,48,52,1,0.0483215327238,0.0390012438219,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
